,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
82910,Piper,PA31,Accident,2019-08-03,Substantial,No,2.0,reciprocating,Flight Test,0.0,0.0,0.0,1.0
82911,BELL,UH1B,Accident,2019-08-03,Destroyed,No,1.0,turbo shaft,External Load,1.0,0.0,0.0,0.0
82912,Gulfstream,GIV,Accident,2019-09-03,Substantial,No,2.0,turbo fan,Executive/corporate,0.0,0.0,0.0,14.0
82913,Cessna,T337,Accident,2019-09-03,Destroyed,No,2.0,reciprocating,Personal,4.0,0.0,0.0,0.0
82914,Cessna,177RG,Accident,2019-09-03,Substantial,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
82915,Piper,PA18,Accident,2019-09-03,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
82916,Cessna,T210,Accident,2019-09-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82917,Cessna,172,Accident,2019-09-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82924,Air Tractor,AT 400A,Accident,2019-11-03,Substantial,No,1.0,turbo prop,Aerial Application,0.0,0.0,0.0,1.0
82925,Cessna,L19,Accident,2019-11-03,Substantial,No,1.0,reciprocating,Instructional,0.0,1.0,0.0,1.0
82927,Cessna,172,Accident,2019-11-03,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82930,Piper,PA32R,Accident,2019-12-03,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,1.0
82931,Beech,A100,Accident,2019-12-03,Substantial,No,2.0,turbo prop,Business,0.0,0.0,0.0,4.0
82932,Piper,PA31,Accident,2019-12-03,Substantial,No,2.0,reciprocating,Aerial Observation,1.0,0.0,0.0,0.0
82933,Cirrus,SR20,Accident,2019-12-03,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82934,Beech,E55,Accident,2019-03-13,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82935,Piper,PA28R,Accident,2019-03-13,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82936,Cessna,182,Accident,2019-03-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82937,Bell,OH 58A,Accident,2019-03-13,Substantial,No,1.0,turbo shaft,Public Aircraft - Local,0.0,0.0,0.0,2.0
